,Unnamed: 0,food_id,food_name,calcium,calories,carbohydrate,fat,potassium,protein,serving_description,sodium,sugar,vitamin_a,vitamin_c
5927,34444,4606,Chex Cereal,30,367,84.98,1.28,168,7.01,100 g,910,10.42,30,30
5928,34448,4607,Chocolate Flavored Frosted Puffed Corn Cereal,7,405,87.2,3.5,176,3.34,100 g,670,47.0,88,88
5930,34457,4609,Cinnamon Toast Crunch,33,422,79.0,11.0,142,5.0,100 g,687,34.0,33,33
5931,34462,4610,Honey Nut Clusters,4,389,83.0,4.9,245,8.0,100 g,453,30.9,0,0
5932,34467,4611,Cocoa Krispies,2,381,86.05,2.9,197,5.22,100 g,635,33.96,33,81
5933,34471,4612,Quaker Cocoa Blasts,1,394,88.7,3.54,189,3.67,100 g,409,48.29,33,33
5934,34475,4613,Puffed Rice Cereal with Cocoa (Includes: Cocoa Pebbles),1,398,87.9,4.2,146,3.5,100 g,541,44.0,52,0
5935,34479,4614,Cocoa Puffs,33,390,88.0,3.2,168,4.0,100 g,571,47.0,0,33
5936,34483,4615,Kellogg's Complete Oat Bran Flakes,5,350,77.0,3.5,400,11.0,100 g,699,20.0,52,350
5937,34487,4616,Cookie-Crisp,33,389,88.0,3.0,90,4.0,100 g,594,42.0,33,33
5938,34491,4617,Quaker Crunchy Corn Bran,7,335,86.34,3.78,208,5.44,100 g,858,20.52,3,0
5939,34495,4618,Corn Chex,33,373,86.0,0.9,83,7.0,100 g,959,10.77,33,33
5940,34499,4619,Corn Flakes,6,361,86.96,0.46,90,6.63,100 g,788,9.35,41,31
5941,34503,4620,Low Sodium Corn Flakes,4,399,88.8,0.3,73,7.7,100 g,10,6.11,4,0
5942,34508,4622,Corn Puffs,0,361,87.11,0.59,79,6.61,100 g,723,10.5,36,37
5943,34511,4622,Corn Puffs,50,377,86.0,2.0,117,6.0,100 g,891,11.0,35,35
5944,34515,4623,Total Corn Flakes,333,373,85.55,1.61,94,6.05,100 g,698,11.0,29,333
5945,34519,4624,Count Chocula,7,395,88.0,3.6,135,4.0,100 g,584,47.0,0,33
5946,34523,4625,Cracklin' Oat Bran,6,402,71.4,13.9,450,8.0,100 g,309,32.0,31,53
5947,34527,4626,Crisp Crunch,2,401,84.82,5.81,200,4.35,100 g,749,43.57,3,0
5948,34532,4627,Crispix,1,377,86.0,1.28,115,6.25,100 g,764,11.53,62,51
5949,34536,4628,Crispy Brown Rice Cereal,3,388,86.0,3.5,238,7.1,100 g,12,9.1,0,0
5950,34540,4629,General Mills Harmony Cereal,109,365,79.0,2.2,166,11.0,100 g,645,24.0,18,92
5951,34544,4630,Crispy Rice,1,364,86.22,1.26,110,6.69,100 g,763,7.65,47,108
5952,34548,4631,Crispy Wheats'N Raisins,0,333,81.0,1.7,413,7.0,100 g,457,33.0,18,0
5953,34552,4632,Kellogg's Disney Cereals,2,386,86.1,2.5,140,6.8,100 g,700,47.0,34,87
5954,34556,4633,Familia,17,388,73.8,6.3,494,9.5,100 g,50,26.2,0,1
5955,34560,4634,Fiber One,33,197,81.0,2.7,774,8.0,100 g,429,0.0,0,33
5956,34564,4635,Health Valley Fiber 7 Flakes,7,353,78.15,1.41,460,14.44,100 g,53,1.86,7,7
5957,34568,4636,Bran Flakes,6,320,80.05,2.15,610,9.55,100 g,728,18.42,59,86
5958,34573,4638,Formerly Called 40% Bran Flakes) Bran Flakes Cereal (Includes: Post Natural Bran Flakes,5,318,79.0,2.0,590,10.0,100 g,715,17.0,86,345
5959,34576,4638,Formerly Called 40% Bran Flakes) Bran Flakes Cereal (Includes: Post Natural Bran Flakes,6,320,80.4,2.2,616,9.4,100 g,732,18.9,50,0
5960,34580,4639,Frankenberry,7,392,90.0,2.6,46,3.0,100 g,711,47.0,0,33
5961,34584,4640,General Mills French Toast Crunch,27,390,88.0,3.2,73,4.0,100 g,593,40.0,33,33
5962,34588,4648,Fruit & Fibre (Fiber),4,385,76.2,5.6,443,7.1,100 g,509,29.8,27,0
5963,34592,4649,"Fruit & Fibre (Fiber) with Dates, Raisins and Walnuts",4,385,76.2,5.6,443,7.1,100 g,509,29.8,27,0
5964,34596,4650,Kellogg's Fruit Harvest Cereal,12,368,87.0,1.2,282,6.5,100 g,511,32.0,33,6
5965,34600,4651,Fruit Rings,1,393,87.48,3.1,120,5.04,100 g,501,41.16,32,78
5966,34604,4652,Fruit Whirls,1,393,87.48,3.1,120,5.04,100 g,501,41.16,32,78
5967,34608,4653,Fruit Flavored Puffed Rice Cereal,1,401,87.9,3.9,110,3.6,100 g,584,44.0,56,0
5969,34616,4655,Granola,6,408,72.39,11.03,367,9.22,100 g,185,25.81,19,5
5970,34620,4656,Homemade Granola,8,490,52.95,24.36,537,14.87,100 g,22,20.1,0,2
5971,34624,4657,Kellogg's Lowfat Granola,4,380,79.6,5.1,250,8.2,100 g,245,28.6,32,8
5972,34628,4658,Kellogg's Lowfat Granola with Raisins,4,366,80.0,5.0,300,8.0,100 g,246,28.4,25,10
5973,34632,4659,Wheat and Malt Barley Cereal Granules,3,359,81.3,1.9,307,10.8,100 g,610,12.0,26,0
5974,34636,4660,Wheat and Malt Barley Cereal Flakes,4,365,81.5,2.9,340,10.0,100 g,482,17.6,52,0
5975,34640,4661,Whole Wheat and Rolled Oats Cereal with Nuts and Fruit,3,377,73.2,8.4,326,8.0,100 g,288,24.6,28,0
5976,34644,4662,Whole Wheat and Rolled Oats Cereal with Pecans,3,408,71.4,11.8,321,9.3,100 g,403,15.3,28,0
5977,34648,4663,Kellogg's Healthy Choice Almond Crunch with Raisins,5,360,78.6,4.66,360,8.7,100 g,391,28.1,17,0
5978,34652,4664,"Corn, Whole Wheat and Rolled Oats Cereal",2,394,81.9,5.5,172,7.1,100 g,642,21.5,50,0
5979,34656,4665,"Corn, Whole Wheat and Rolled Oats Cereal with Almonds",4,407,78.0,8.5,227,7.8,100 g,603,21.0,48,0
5980,34661,4666,Puffed Corn and Oat Cereal,2,395,88.9,2.1,120,5.2,100 g,743,38.3,52,0
5981,34665,4667,Strawberry Flavored Puffed Corn and Oat Cereal,2,395,88.9,2.1,120,5.2,100 g,743,38.3,52,0
5982,34670,4668,Kellogg's Honey Crunch Corn Flakes,2,385,87.0,1.9,102,6.8,100 g,700,33.0,33,33
5983,34674,4669,Honey Nut Chex,33,381,87.0,2.0,99,5.0,100 g,745,32.0,0,33
5984,34679,4670,Honey Nut Cheerios,33,373,80.0,4.0,305,9.0,100 g,898,35.0,33,33
5985,34683,4671,Shredded Whole Wheat Cereal (Presweetened),3,385,81.22,3.77,253,9.82,100 g,22,23.08,0,0
5986,34688,4672,Kellogg's Smacks,2,387,89.0,1.85,151,6.4,100 g,186,56.0,38,38
5987,34692,4673,Jenny O's,1,359,74.97,2.68,215,9.2,100 g,313,2.73,2,0
5988,34696,4674,Just Right,3,371,83.7,2.7,220,7.7,100 g,614,21.2,45,0
5989,34700,4675,Just Right Fruit and Nut,4,366,81.7,3.3,269,7.0,100 g,459,25.0,17,0
5990,34704,4676,Kellogg's Pokemon,2,386,86.1,2.5,140,6.8,100 g,700,47.0,34,87
5991,34708,4677,Kaboom,33,383,81.0,3.7,210,9.0,100 g,950,20.0,33,33
5992,34712,4678,Puffed Kashi,4,394,80.0,2.9,333,12.0,100 g,10,3.2,0,0
5993,34716,4679,King Vitaman,1,386,84.9,3.56,276,6.45,100 g,838,20.2,67,67
5994,34722,4680,Kix,50,377,86.0,2.0,117,6.0,100 g,891,11.0,35,35
5995,34726,4681,Life (Plain and Cinnamon),35,375,78.1,4.38,285,9.92,100 g,513,19.48,1,0
5996,34731,4682,Lucky Charms,33,380,83.0,3.8,191,7.0,100 g,678,43.0,33,33
5997,34735,4683,Frosted Oat Cereal with Marshmallows,7,388,84.1,3.5,207,7.1,100 g,564,43.5,88,88
5998,34739,4684,Malt-O-Meal Coco-Roos,41,396,89.5,2.6,195,3.7,100 g,568,46.5,41,34
5999,34743,4685,Malt-O-Meal Corn Bursts,1,394,93.7,0.34,59,4.0,100 g,399,43.6,60,101
6000,34747,4686,Malt-O-Meal Crispy Rice,1,387,85.5,1.22,110,6.37,100 g,950,9.06,34,39
6001,34751,4687,Malt-O-Meal Frosted Flakes,0,387,90.9,0.4,67,5.0,100 g,573,37.4,79,103
6002,34755,4688,Malt-O-Meal Honey and Nut Toasty O's,33,373,80.0,4.0,305,9.0,100 g,898,35.0,33,33
6003,34759,4696,Puffed Millet,1,354,80.0,3.4,40,13.0,100 g,5,0.55,0,0
6004,34763,4697,Mueslix Cereal,10,368,74.6,5.75,478,9.45,100 g,160,28.6,6,1
6005,34767,4698,"Muesli with Raisins, Dates and Almonds",0,340,77.8,4.9,486,9.7,100 g,231,31.0,11,0
6006,34771,4699,Multi Bran Chex,18,338,84.0,2.5,387,7.0,100 g,657,22.0,18,18
6007,34775,4700,Multi Grain Cheerios,32,361,81.0,4.0,293,8.0,100 g,669,20.0,32,78
6008,34780,4702,Nature Valley Granola with Fruit and Nuts,6,374,69.54,6.69,395,12.44,100 g,65,13.01,0,1
6009,34783,4702,Nature Valley Granola with Fruit and Nuts,4,386,80.0,4.6,279,8.0,100 g,376,33.41,0,0
6010,34788,4704,Ralston Purina Nutty Nuggets,41,369,74.0,5.9,696,11.84,100 g,711,3.94,33,33
6011,34791,4704,Ralston Purina Nutty Nuggets,3,359,81.3,1.9,307,10.8,100 g,610,12.0,26,0
6012,34795,4705,Health Valley Oat Bran Flakes,4,353,78.6,1.4,321,10.7,100 g,36,19.47,0,1
6013,34799,4706,Apple Cinnamon Oatmeal Crisp,4,377,82.0,3.9,310,9.0,100 g,460,34.0,0,18
6014,34803,4707,Oatmeal Crisp with Almonds,4,397,76.0,8.4,335,10.0,100 g,430,28.0,0,18
6015,34807,4708,Oatmeal Raisin Crisp,4,370,81.0,3.7,363,9.0,100 g,392,32.0,0,18
6017,34815,4710,Quaker Fruitangy Oh's,1,392,87.21,3.5,189,4.87,100 g,491,43.25,67,67
6018,34819,4711,Bran and Malted Flour Cereal,8,287,78.2,2.1,947,12.7,100 g,417,24.4,52,0
6019,34823,4712,Quaker Plain 100% Natural Cereal,12,455,66.43,18.83,495,10.6,100 g,48,26.16,0,1
6020,34827,4713,Sun Country 100% Natural Granola with Almonds,9,467,67.2,18.02,388,11.77,100 g,33,20.42,0,0
6021,34831,4714,Quaker 100 % Natural Honey and Raisins with Oats Cereal,11,465,65.74,17.9,504,10.32,100 g,51,22.5,0,5
6022,34835,4715,Quaker Lowfat 100 % Natural Wholegrain Cereal with Raisins,6,390,81.18,5.46,407,7.95,100 g,237,33.41,0,1
6023,34839,4716,Nature's Path Optimum,46,345,72.73,4.55,751,14.55,100 g,364,29.09,0,4
6024,34843,4717,Nature's Path Optimum Slim,46,327,69.09,4.55,956,16.36,100 g,455,18.18,0,0
6025,34847,4718,Chocolate Flavored Rings,2,415,81.9,8.8,183,4.8,100 g,475,47.0,56,0
6026,34851,4719,Quaker Sweet Crunch,1,405,85.0,6.09,189,4.44,100 g,741,43.32,3,18
6027,34855,4720,Quaker Sweet Puffs,1,391,87.99,1.93,148,6.76,100 g,236,47.47,0,0
6028,34860,4722,Quaker Oat Bran Cereal,2,333,83.0,1.4,167,7.7,100 g,690,13.3,50,340
6029,34863,4722,Quaker Oat Bran Cereal,19,372,74.89,5.11,438,12.38,100 g,364,16.34,19,19
6030,34867,4723,Quaker Oatmeal Squares,20,378,78.34,4.32,366,11.04,100 g,480,16.1,20,19
6031,34871,4724,Quisp,1,405,85.0,6.09,189,4.44,100 g,741,43.32,3,18
6032,34875,4725,Raisin Bran,18,321,76.32,2.78,603,8.7,100 g,541,30.9,19,5
6033,34880,4726,Kellogg Raisin Bran,5,319,76.3,2.5,610,8.5,100 g,593,32.0,17,1
6034,34884,4727,Post Raisin Bran,5,317,76.84,2.5,613,9.33,100 g,489,28.06,25,13
